Local Time,AQI,CO,NO2,O3,PM10,PM25,SO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,UV Index,Wind Speed
2023-01-31 15:00:00,155.0,0.16108312031417352,7.795241873254286,0.05790283333333334,73.8,59.0,34.04117940873474,0,0.0,1011,30,22.1,4.0,2.0
2023-01-31 16:00:00,139.0,0.15740213495180294,7.795241873254286,0.058369791666666664,62.5,50.0,33.936222021040805,0,0.0,1010,28,22.6,2.7,2.0
2023-01-31 17:00:00,123.0,0.16108312031417352,10.23125495864625,0.0533733375,55.0,44.0,34.18112259232666,0,0.0,1010,31,21.3,2.1,1.66
2023-01-31 18:00:00,118.0,0.16484412709746518,12.667268044038213,0.048423579166666675,52.5,42.0,34.391037367714546,0,0.0,1011,34,20.0,0.0,1.33
2023-01-31 19:00:00,169.0,0.16860513388075685,15.10328112943018,0.043427125,87.5,70.0,34.63593793900041,41,0.0,1011,38,18.7,0.0,1.0
2023-01-31 20:00:00,159.0,0.17572704034273473,15.444322961385053,0.038290583333333336,77.5,62.0,33.48140667436706,41,0.0,1011,49,18.0,0.0,1.0
2023-01-31 21:00:00,153.0,0.1829289682256337,15.736644531632086,0.03315404166666667,72.5,58.0,32.29188961383573,41,0.0,1012,63,17.2,0.0,1.0
2023-01-31 22:00:00,145.0,0.1900508746876116,16.077686363586963,0.0280175,65.0,52.0,31.137358349202387,42,0.0,1012,80,16.5,0.0,1.0
2023-01-31 23:00:00,175.0,0.20221413066761873,16.905930812620234,0.024748791666666665,92.5,74.0,30.892457777916523,42,0.0,1012,81,16.2,0.0,1.0
2023-02-01 00:00:00,152.0,0.21437738664762587,17.68545499994566,0.021480083333333337,71.3,57.0,30.682543002528643,42,0.0,1012,83,15.8,0.0,1.0
2023-02-01 01:00:00,134.0,0.2264606212067119,18.51369944897893,0.018211375000000002,60.0,48.0,30.43764243124278,42,0.0,1012,85,15.5,0.0,1.0
2023-02-01 02:00:00,129.0,0.23254224919671546,17.539294214822142,0.017417545833333332,57.5,46.0,30.43764243124278,42,0.0,1012,88,15.0,0.0,0.66
2023-02-01 03:00:00,137.0,0.23862387718671904,16.564888980665355,0.016670412500000002,61.3,49.0,30.43764243124278,42,0.0,1011,91,14.5,0.0,0.33
2023-02-01 04:00:00,155.0,0.2447055051767226,15.590483746508571,0.015876583333333336,73.8,59.0,30.43764243124278,86,0.0,1011,94,14.0,0.0,1.2
2023-02-01 05:00:00,159.0,0.2479863834344877,15.736644531632086,0.0155497125,77.5,62.0,33.2365061030812,86,0.0,1011,89,13.8,0.0,0.8
2023-02-01 06:00:00,152.0,0.2512672616922528,15.931525578463448,0.015269537500000005,71.3,57.0,36.035369774919616,86,0.0,1012,85,13.7,0.0,0.8
2023-02-01 07:00:00,164.0,0.25454813995001785,16.077686363586963,0.014942666666666668,82.5,66.0,38.834233446758034,86,0.0,1012,80,13.5,1.0,1.2
2023-02-01 08:00:00,180.0,0.22149929310960376,12.521107258914697,0.026009579166666668,97.5,78.0,34.98579589798021,87,0.0,1013,76,14.8,1.1,0.33
2023-02-01 10:00:00,185.0,0.15548162084969655,5.359228787862322,0.04809670833333334,102.5,82.0,27.288920800424563,87,0.0,1014,68,17.5,2.6,1.0
2023-02-01 11:00:00,179.0,0.1673247911460193,5.846431404940715,0.057109004166666665,96.3,77.0,28.79331002403771,83,0.0,1013,63,18.9,2.8,1.66
