,AQI,PM25,PM10,O3,CO,SO2,NO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,UV Index,Wind Speed
2022-01-16,132,47.92176470588235,67.62941176470588,0.04576191666666667,0.27415338807568723,13.399559828926419,9.256849724489465,85.88235294117646,0.08823529411764706,1016.4705882352941,84.3529411764706,20.552941176470586,1.5058823529411764,2.8994117647058824
2022-01-17,116,41.610833333333325,58.625,0.02755054166666667,0.29235826133523746,15.043892236131489,7.161878471052374,76.29166666666667,0.71875,1020.25,85.0,15.004166666666668,0.5833333333333334,2.9004166666666666
2022-01-18,104,36.66666666666667,51.51666666666667,0.06070458333333334,0.27491359157443773,16.4433240720507,7.795241873254286,68.5,0.027777777777777776,1021.1111111111111,66.55555555555556,17.97222222222222,1.7166666666666666,2.0172222222222222
2022-01-19,97,34.0,47.7,0.0616385,0.28983758657622277,11.300412075047605,7.161878471052374,61.666666666666664,0.1111111111111111,1018.0,49.44444444444444,20.01111111111111,3.011111111111111,2.2566666666666664
2022-01-20,151,55.73333333333334,78.71333333333334,0.05883675,0.3686586861835059,19.137230356195175,9.744052341567857,95.46666666666667,0.6,1015.6,84.2,16.86,1.0666666666666667,1.8306666666666667
2022-01-21,155,61.82076923076924,86.86923076923078,0.052299333333333343,0.33492965726526236,22.14600880342147,11.205660192803036,82.46153846153847,1.0961538461538463,1014.0769230769231,92.76923076923077,16.96153846153846,1.0307692307692309,1.4584615384615385
2022-01-22,158,65.81649999999999,92.835,0.041092333333333335,0.29407872188504103,19.94190366184872,10.377415743769768,94.5,0.1875,1010.25,89.65,18.59,0.7849999999999999,1.9125
2022-01-23,142,52.33375,73.9125,0.041092333333333335,0.1643639985719386,8.50154840320919,6.820836639097501,78.25,0.0,1009.125,76.0,23.025,1.7375,2.04125
2022-01-24,122,43.904999999999994,61.59285714285714,0.03969145833333334,0.163883870046412,14.694034277151687,7.308039256175893,62.214285714285715,0.0,1010.3571428571429,76.71428571428571,23.900000000000002,2.0214285714285714,2.212857142857143
2022-01-25,145,53.263749999999995,75.01666666666667,0.040625375,0.22185938950374867,19.59204570286892,8.769647107411071,96.79166666666667,0.0625,1012.6666666666666,88.75,20.525000000000002,0.7041666666666666,2.860416666666667
2022-01-26,151,55.805416666666666,78.80416666666666,0.042960166666666674,0.25892931274544806,19.94190366184872,9.256849724489465,90.33333333333333,0.0,1012.8333333333334,89.08333333333333,20.858333333333334,0.6458333333333334,2.8874999999999997
2022-01-27,141,51.93083333333333,73.54166666666667,0.04669583333333333,0.20804569171724382,17.1430399900103,11.205660192803036,68.16666666666667,0.125,1012.75,85.91666666666667,22.2375,1.0333333333333334,2.7483333333333335
2022-01-28,154,59.458333333333336,84.08333333333333,0.04576191666666667,0.2153476463762942,18.192613866949706,10.718457575724644,75.16666666666667,0.020833333333333332,1011.9583333333334,83.125,22.508333333333336,1.0541666666666667,3.2616666666666667
2022-01-29,135,49.166666666666664,69.19583333333334,0.035955791666666674,0.2782144751874331,18.54247182592951,10.718457575724644,90.54166666666667,0.2708333333333333,1011.7916666666666,88.20833333333333,17.345833333333335,0.6124999999999999,3.359166666666667
2022-01-30,92,31.263749999999998,43.762499999999996,0.03408795833333334,0.19197138878971795,17.1430399900103,6.820836639097501,93.70833333333333,0.020833333333333332,1015.8333333333334,70.04166666666667,13.291666666666666,0.6291666666666667,2.2475
2022-01-31,112,40.041666666666664,56.304166666666674,0.038290583333333336,0.2029543288111389,19.24218774388911,6.820836639097501,90.58333333333333,0.10416666666666667,1017.5,76.83333333333333,12.620833333333332,0.6291666666666667,2.4833333333333334
2022-02-01,110,39.180416666666666,55.01666666666667,0.03688970833333334,0.18789029632274187,15.498707582805231,5.846431404940715,100.0,0.010416666666666666,1018.0,67.875,13.254166666666668,0.6333333333333333,2.2620833333333334
2022-02-02,120,43.236250000000005,60.637499999999996,0.03175316666666667,0.19651260442699037,17.842755907969906,6.820836639097501,100.0,0.0,1018.8333333333334,76.58333333333333,12.795833333333334,0.65,2.499166666666667
2022-02-03,102,35.94736842105263,50.63157894736842,0.052766291666666666,0.20535497143877185,15.393750195111293,9.110688939365945,97.84210526315789,0.0,1019.4736842105264,60.1578947368421,13.936842105263159,1.4000000000000001,2.544736842105263
2022-02-04,140,51.48350000000001,72.33,0.054634125000000006,0.2901576722599072,24.839915087565945,10.86461836084816,97.95,0.075,1020.95,60.75,16.025,1.52,1.78
2022-02-05,140,51.491052631578945,72.61578947368422,0.054167166666666676,0.2218193787932881,21.34133549776793,8.623486322287553,95.94736842105263,1.0921052631578947,1021.5263157894736,58.421052631578945,16.0,0.9105263157894737,1.9457894736842105
2022-02-06,154,60.43300000000001,85.0,0.0392245,0.27319313102463405,16.548281459744636,10.86461836084816,75.8,0.525,1018.2,93.0,13.319999999999999,1.53,2.0
2022-02-07,157,64.20538461538462,90.5923076923077,0.043427125,0.2677516744019993,15.288792807417352,8.769647107411071,92.46153846153847,0.25,1012.7692307692307,81.61538461538461,18.084615384615383,1.1923076923076923,1.7676923076923077
2022-02-08,116,41.708333333333336,58.916666666666664,0.029418375,0.2205290333809354,18.192613866949706,9.744052341567857,74.625,0.16666666666666666,1014.375,93.79166666666667,16.379166666666666,0.6625,1.9720833333333332
2022-02-09,111,39.388749999999995,55.512499999999996,0.0280175,0.1993104962513388,21.69119345674773,8.769647107411071,85.70833333333333,0.020833333333333332,1016.9583333333334,84.875,13.845833333333333,0.6666666666666666,2.2333333333333334
